Region,Generation,Exists,PopulationSize,AverageFitness
1,1,Exists,9,1
2,1,Exists,9,1
3,1,Exists,12,1
4,1,Exists,11,1.03072
1,2,Exists,10,1
2,2,Exists,11,1
3,2,Exists,15,1
4,2,Exists,10,0.990614
1,3,Exists,8,1.16448
2,3,Exists,14,1
3,3,Exists,16,1
4,3,Exists,11,0.943753
1,4,Exists,8,1.24672
2,4,Exists,16,1
3,4,Exists,18,1
4,4,Exists,11,1.01738
1,5,Exists,10,1.37354
2,5,Exists,19,1
3,5,Exists,20,1.08163
4,5,Exists,14,0.969681
1,6,Exists,11,1.08808
2,6,Exists,21,1
3,6,Exists,23,1.016
4,6,Exists,15,1.05074
1,7,Exists,13,1
2,7,Exists,23,1.0176
3,7,Exists,30,1.1309
4,7,Exists,17,0.967457
1,8,Exists,12,1.17616
2,8,Exists,25,1.09181
3,8,Exists,32,1.18972
4,8,Exists,21,1.05757
1,9,Exists,13,1
2,9,Exists,26,1.15001
3,9,Exists,31,0.866927
4,9,Exists,24,0.877742
1,10,Exists,13,1.35234
2,10,Exists,24,1.10581
3,10,Exists,31,0.76342
4,10,Exists,23,1.13571
1,11,Exists,16,1.44042
2,11,Exists,25,1.10111
3,11,Exists,34,0.89746
4,11,Exists,26,1.0344
1,12,Exists,16,1.36897
2,12,Exists,28,1.08703
3,12,Exists,39,0.806252
4,12,Exists,32,0.939376
1,13,Exists,16,1.26049
2,13,Exists,32,1.12625
3,13,Exists,42,0.920699
4,13,Exists,38,1.01676
1,14,Exists,17,1.45062
2,14,Exists,37,1.21452
3,14,Exists,45,0.840805
4,14,Exists,41,1.10522
1,15,Exists,17,1.30335
2,15,Exists,42,1.12825
3,15,Exists,51,1.07388
4,15,Exists,48,1.06196
1,16,Exists,20,1.20255
2,16,Exists,47,1.10589
3,16,Exists,53,1.01739
4,16,Exists,53,0.929799
1,17,Exists,21,1.19231
2,17,Exists,47,1.24796
3,17,Exists,57,1.01537
4,17,Exists,58,1.14548
1,18,Exists,24,1.27134
2,18,Exists,49,1.14373
3,18,Exists,60,1.28501
4,18,Exists,59,1.02537
1,19,Exists,26,1.41392
2,19,Exists,54,1.2726
3,19,Exists,60,0.938034
4,19,Exists,57,1.1602
1,20,Exists,30,1.49627
2,20,Exists,57,1.06367
3,20,Exists,64,1.09121
4,20,Exists,57,1.10583
1,21,Exists,36,1.75325
2,21,Exists,63,1.35688
3,21,Exists,69,1.29452
4,21,Exists,60,1.18539
1,22,Exists,36,1.88489
2,22,Exists,71,1.32424
3,22,Exists,78,0.999688
4,22,Exists,65,1.18704
1,23,Exists,38,1.61003
2,23,Exists,78,1.6093
3,23,Exists,83,0.965822
4,23,Exists,68,1.23713
1,24,Exists,39,1.56939
2,24,Exists,85,1.34305
3,24,Exists,87,1.23572
4,24,Exists,74,1.07505
1,25,Exists,47,1.72723
2,25,Exists,92,1.38756
3,25,Exists,96,1.52653
4,25,Exists,77,1.39963
1,26,Exists,49,1.8591
2,26,Exists,94,1.75201
3,26,Exists,102,1.04766
4,26,Exists,82,1.32085
1,27,Exists,55,1.77151
2,27,Exists,98,1.646
3,27,Exists,109,1.49808
4,27,Exists,87,1.39132
1,28,Exists,56,1.8275
2,28,Exists,97,1.74311
3,28,Exists,112,1.4829
4,28,Exists,92,1.55629
1,29,Exists,61,1.6721
2,29,Exists,102,1.90069
3,29,Exists,121,1.54359
4,29,Exists,105,1.48939
1,30,Exists,66,1.96759
2,30,Exists,105,1.81332
3,30,Exists,103,1.58037
4,30,Exists,116,1.4582
1,31,Exists,75,1.83904
2,31,Exists,117,2.07161
3,31,Exists,91,1.45631
4,31,Exists,128,1.01492
1,32,Exists,76,1.74786
2,32,Exists,112,1.39315
3,32,Exists,82,1.6861
4,32,Exists,108,1.20796
1,33,Exists,81,1.76235
2,33,Exists,97,1.62018
3,33,Exists,76,1.7723
4,33,Exists,94,1.22463
1,34,Exists,88,1.85729
2,34,Exists,86,2.03123
3,34,Exists,70,1.39476
4,34,Exists,84,1.20187
1,35,Exists,96,1.94856
2,35,Exists,79,1.94395
3,35,Exists,65,1.49139
4,35,Exists,77,1.22292
1,36,Exists,105,1.80442
2,36,Exists,72,2.17683
3,36,Exists,62,1.75288
4,36,Exists,71,1.16704
1,37,Exists,112,1.92947
2,37,Exists,68,1.90156
3,37,Exists,60,1.72399
4,37,Exists,66,1.12653
1,38,Exists,113,1.90543
2,38,Exists,64,2.02714
3,38,Exists,57,1.56225
4,38,Exists,63,1.17045
1,39,Exists,117,2.01186
2,39,Exists,61,2.37149
3,39,Exists,54,1.16743
4,39,Exists,60,1.24482
1,40,Exists,101,2.24225
2,40,Exists,59,2.44588
3,40,Exists,52,1.18486
4,40,Exists,58,1.4146
1,41,Exists,89,2.10929
2,41,Exists,56,2.36691
3,41,Exists,51,1.37453
4,41,Exists,56,1.52465
1,42,Exists,81,2.13106
2,42,Exists,54,2.33778
3,42,Exists,50,1.26651
4,42,Exists,54,1.21333
1,43,Exists,75,2.29489
2,43,Exists,52,2.4317
3,43,Exists,49,1.18296
4,43,Exists,52,1.54007
1,44,Exists,70,2.2244
2,44,Exists,52,2.33448
3,44,Exists,48,1.23203
4,44,Exists,50,1.35726
1,45,Exists,65,2.13239
2,45,Exists,51,2.03995
3,45,Exists,47,1.84877
4,45,Exists,49,1.23597
1,46,Exists,62,2.62355
2,46,Exists,50,2.41188
3,46,Exists,46,1.53877
4,46,Exists,48,1.30004
1,47,Exists,59,2.35363
2,47,Exists,48,2.59755
3,47,Exists,46,1.64171
4,47,Exists,46,1.44366
1,48,Exists,57,2.70099
2,48,Exists,47,2.62962
3,48,Exists,45,1.33467
4,48,Exists,46,1.49023
1,49,Exists,55,2.55456
2,49,Exists,46,2.30567
3,49,Exists,45,1.6709
4,49,Exists,44,1.65847
1,50,Exists,52,2.39047
2,50,Exists,46,2.48389
3,50,Exists,44,1.60616
4,50,Exists,44,1.66471
1,51,Exists,51,2.48971
2,51,Exists,44,2.56639
3,51,Exists,43,1.58578
4,51,Exists,43,1.71849
1,52,Exists,50,2.95427
2,52,Exists,43,3.13032
3,52,Exists,42,1.63252
4,52,Exists,44,1.51681
1,53,Exists,46,2.83949
2,53,Exists,44,3.28112
3,53,Exists,42,1.66766
4,53,Exists,43,1.64518
1,54,Exists,49,2.9792
2,54,Exists,44,3.04486
3,54,Exists,42,1.58566
4,54,Exists,42,1.51757
1,55,Exists,48,2.90863
2,55,Exists,44,3.08749
3,55,Exists,40,1.51009
4,55,Exists,42,1.52221
1,56,Exists,47,2.83949
2,56,Exists,43,2.94541
3,56,Exists,43,1.51929
4,56,Exists,41,1.43467
1,57,Exists,46,2.89218
2,57,Exists,42,2.61416
3,57,Exists,42,1.48634
4,57,Exists,40,1.16692
1,58,Exists,45,2.82587
2,58,Exists,42,3.33037
3,58,Exists,42,1.60833
4,58,Exists,37,1.50265
1,59,Exists,45,3.10099
2,59,Exists,42,2.72328
3,59,Exists,42,1.64378
4,59,Exists,39,1.77445
1,60,Exists,44,3.10099
2,60,Exists,41,3.03948
3,60,Exists,42,1.86156
4,60,Exists,39,0.823804
1,61,Exists,44,3.41612
2,61,Exists,41,2.72659
3,61,Exists,42,1.67026
4,61,Exists,44,1.7142
1,62,Exists,43,2.72797
2,62,Exists,40,3.51458
3,62,Exists,42,1.81
4,62,Exists,44,1.97095
1,63,Exists,42,2.8938
2,63,Exists,41,3.39525
3,63,Exists,42,2.07142
4,63,Exists,49,1.77022
1,64,Exists,43,3.28229
2,64,Exists,40,3.35252
3,64,Exists,41,2.00649
4,64,Exists,46,1.88346
1,65,Exists,43,3.2023
2,65,Exists,39,3.21119
3,65,Exists,40,1.66051
4,65,Exists,46,1.90472
1,66,Exists,42,3.09236
2,66,Exists,39,3.10088
3,66,Exists,38,2.0117
4,66,Exists,47,1.97842
1,67,Exists,42,3.12018
2,67,Exists,39,3.44278
3,67,Exists,39,2.09314
4,67,Exists,45,2.0708
1,68,Exists,41,3.10319
2,68,Exists,43,3.66945
3,68,Exists,36,2.2782
4,68,Exists,48,1.93329
1,69,Exists,41,3.39634
2,69,Exists,42,3.64975
3,69,Exists,39,2.04935
4,69,Exists,50,1.74642
1,70,Exists,39,3.38467
2,70,Exists,42,4.00721
3,70,Exists,38,2.02947
4,70,Exists,54,1.72182
1,71,Exists,43,3.28461
2,71,Exists,42,3.90127
3,71,Exists,39,2.55903
4,71,Exists,52,2.05457
1,72,Exists,42,3.39188
2,72,Exists,41,4.10113
3,72,Exists,45,2.39228
4,72,Exists,55,2.0989
1,73,Exists,42,3.51681
2,73,Exists,41,3.63662
3,73,Exists,44,2.53039
4,73,Exists,57,2.07715
1,74,Exists,41,3.32616
2,74,Exists,40,4.242
3,74,Exists,47,1.89945
4,74,Exists,67,2.3493
1,75,Exists,41,3.43453
2,75,Exists,40,4.4462
3,75,Exists,49,2.5219
4,75,Exists,68,2.3078
1,76,Exists,42,3.69267
2,76,Exists,41,4.68897
3,76,Exists,49,2.17138
4,76,Exists,72,2.05158
1,77,Exists,46,3.56536
2,77,Exists,40,4.4194
3,77,Exists,44,2.54317
4,77,Exists,77,2.04329
1,78,Exists,47,3.67882
2,78,Exists,40,4.39667
3,78,Exists,41,2.19899
4,78,Exists,78,2.08195
1,79,Exists,46,3.47318
2,79,Exists,39,4.60105
3,79,Exists,45,2.36879
4,79,Exists,89,2.09589
1,80,Exists,43,3.97532
2,80,Exists,39,4.49496
3,80,Exists,50,2.34167
4,80,Exists,93,1.98006
1,81,Exists,45,3.85044
2,81,Exists,39,4.59155
3,81,Exists,49,1.81506
4,81,Exists,102,2.24857
1,82,Exists,45,3.74578
2,82,Exists,38,4.32616
3,82,Exists,47,2.29683
4,82,Exists,113,2.37492
1,83,Exists,44,4.1963
2,83,Exists,38,4.17279
3,83,Exists,49,2.22604
4,83,Exists,122,2.29004
1,84,Exists,43,3.98011
2,84,Exists,38,4.4194
3,84,Exists,55,2.2573
4,84,Exists,114,2.30778
1,85,Exists,43,3.6456
2,85,Exists,38,4.33976
3,85,Exists,62,2.33506
4,85,Exists,99,2.36849
1,86,Exists,43,4.10103
2,86,Exists,38,4.39521
3,86,Exists,64,1.49729
4,86,Exists,88,2.34142
1,87,Exists,43,3.57826
2,87,Exists,37,4.00772
3,87,Exists,70,1.66267
4,87,Exists,79,2.13607
1,88,Exists,42,4.30113
2,88,Exists,37,3.8456
3,88,Exists,80,1.66977
4,88,Exists,73,2.17675
1,89,Exists,42,3.39415
2,89,Exists,38,4.141
3,89,Exists,81,2.0343
4,89,Exists,69,2.337
1,90,Exists,42,3.71242
2,90,Exists,38,4.06432
3,90,Exists,83,1.99979
4,90,Exists,65,2.3445
1,91,Exists,41,3.67868
2,91,Exists,34,3.90254
3,91,Exists,83,1.92017
4,91,Exists,61,2.52191
1,92,Exists,42,4.66775
2,92,Exists,37,3.9553
3,92,Exists,89,2.41383
4,92,Exists,58,2.33523
1,93,Exists,41,4.10593
2,93,Exists,36,4.06685
3,93,Exists,96,1.87913
4,93,Exists,56,2.56805
1,94,Exists,40,4.65563
2,94,Exists,38,4.02314
3,94,Exists,106,1.76156
4,94,Exists,54,2.4222
1,95,Exists,40,4.85118
2,95,Exists,39,4.15261
3,95,Exists,109,2.06343
4,95,Exists,52,2.08005
1,96,Exists,40,4.84179
2,96,Exists,44,4.05095
3,96,Exists,113,1.8731
4,96,Exists,51,2.13512
1,97,Exists,41,5.31882
2,97,Exists,48,4.11547
3,97,Exists,117,2.22355
4,97,Exists,50,2.46574
1,98,Exists,40,5.0026
2,98,Exists,51,4.01462
3,98,Exists,100,1.97425
4,98,Exists,49,2.3085
1,99,Exists,40,5.40743
2,99,Exists,48,4.14507
3,99,Exists,89,1.72734
4,99,Exists,48,2.301
1,100,Exists,39,5.92982
2,100,Exists,43,3.98781
3,100,Exists,81,1.84474
4,100,Exists,47,2.40615
1,101,Exists,40,6.12821
2,101,Exists,42,4.03619
3,101,Exists,75,2.12551
4,101,Exists,46,2.48244
1,102,Exists,39,5.5774
2,102,Exists,42,4.28625
3,102,Exists,69,1.50765
4,102,Exists,46,2.42392
1,103,Exists,39,5.83819
2,103,Exists,41,4.07974
3,103,Exists,65,1.8078
4,103,Exists,45,2.53224
1,104,Exists,39,5.90699
2,104,Exists,48,3.76329
3,104,Exists,62,1.69813
4,104,Exists,44,2.19836
1,105,Exists,39,6.08999
2,105,Exists,53,3.71376
3,105,Exists,59,1.5353
4,105,Exists,43,2.28296
1,106,Exists,38,6.32863
2,106,Exists,51,4.0169
3,106,Exists,57,1.63469
4,106,Exists,43,2.33268
1,107,Exists,37,6.08389
2,107,Exists,53,3.98813
3,107,Exists,55,1.9776
4,107,Exists,43,2.24683
1,108,Exists,39,6.13556
2,108,Exists,52,4.00929
3,108,Exists,54,1.55125
4,108,Exists,42,2.11438
1,109,Exists,38,6.05143
2,109,Exists,55,3.86459
3,109,Exists,52,1.97676
4,109,Exists,42,2.41536
1,110,Exists,34,5.98593
2,110,Exists,54,3.97862
3,110,Exists,50,1.91957
4,110,Exists,41,2.45358
1,111,Exists,38,6.05691
2,111,Exists,56,3.71243
3,111,Exists,48,1.64225
4,111,Exists,41,2.18769
1,112,Exists,43,5.92329
2,112,Exists,64,4.01982
3,112,Exists,46,1.64715
4,112,Exists,41,2.37458
1,113,Exists,46,6.06437
2,113,Exists,70,4.07695
3,113,Exists,47,2.22427
4,113,Exists,41,2.14028
1,114,Exists,45,6.12289
2,114,Exists,70,4.08726
3,114,Exists,48,2.12052
4,114,Exists,40,2.1113
1,115,Exists,45,6.19475
2,115,Exists,77,4.17928
3,115,Exists,47,2.09708
4,115,Exists,40,2.33703
1,116,Exists,45,6.33279
2,116,Exists,82,4.34575
3,116,Exists,47,2.68222
4,116,Exists,40,2.15818
1,117,Exists,44,5.96861
2,117,Exists,88,3.95732
3,117,Exists,46,2.17983
4,117,Exists,39,2.16304
1,118,Exists,43,6.03633
2,118,Exists,95,4.14556
3,118,Exists,45,2.16764
4,118,Exists,40,2.17308
1,119,Exists,42,5.95994
2,119,Exists,97,4.30735
3,119,Exists,43,2.31111
4,119,Exists,39,2.00202
1,120,Exists,41,6.12935
2,120,Exists,98,3.99602
3,120,Exists,43,2.17834
4,120,Exists,38,2.19298
1,121,Exists,38,6.05737
2,121,Exists,100,4.41356
3,121,Exists,43,2.17191
4,121,Exists,40,2.07712
1,122,Exists,41,6.18179
2,122,Exists,107,3.96234
3,122,Exists,42,2.07823
4,122,Exists,40,2.05918
1,123,Exists,45,6.22205
2,123,Exists,110,3.80266
3,123,Exists,42,1.99682
4,123,Exists,40,2.24472
1,124,Exists,44,6.28977
2,124,Exists,116,4.21327
3,124,Exists,42,2.19003
4,124,Exists,39,2.23524
1,125,Exists,44,5.92824
2,125,Exists,100,4.2414
3,125,Exists,42,2.46938
4,125,Exists,39,1.79498
1,126,Exists,43,6.06931
2,126,Exists,89,3.91647
3,126,Exists,42,2.75193
4,126,Exists,38,2.28573
1,127,Exists,42,5.90692
2,127,Exists,81,4.22204
3,127,Exists,41,2.40349
4,127,Exists,34,2.24655
1,128,Exists,41,5.88559
2,128,Exists,75,3.91926
3,128,Exists,42,2.87676
4,128,Exists,36,2.19401
1,129,Exists,41,6.10404
2,129,Exists,69,5.12537
3,129,Exists,42,2.85941
4,129,Exists,42,1.96578
1,130,Exists,40,6.08875
2,130,Exists,65,4.71644
3,130,Exists,42,2.34523
4,130,Exists,45,2.21131
1,131,Exists,37,5.76485
2,131,Exists,62,4.84806
3,131,Exists,41,2.89931
4,131,Exists,52,2.09401
1,132,Exists,39,5.99736
2,132,Exists,59,4.60374
3,132,Exists,42,2.93198
4,132,Exists,55,2.12766
1,133,Exists,39,5.85129
2,133,Exists,57,5.07953
3,133,Exists,44,3.16005
4,133,Exists,58,2.26931
1,134,Exists,41,6.34002
2,134,Exists,55,5.30759
3,134,Exists,44,2.90293
4,134,Exists,60,2.19257
1,135,Exists,46,6.28341
2,135,Exists,54,5.46636
3,135,Exists,43,3.16005
4,135,Exists,63,2.23859
1,136,Exists,49,6.05937
2,136,Exists,51,5.42428
3,136,Exists,42,3.19677
4,136,Exists,73,2.2559
1,137,Exists,48,6.72807
2,137,Exists,50,5.32003
3,137,Exists,42,3.16005
4,137,Exists,82,2.07099
1,138,Exists,50,6.12629
2,138,Exists,49,5.32003
3,138,Exists,41,3.19677
4,138,Exists,75,2.38653
1,139,Exists,52,6.14563
2,139,Exists,48,5.36545
3,139,Exists,40,3.16663
4,139,Exists,70,2.44088
1,140,Exists,56,5.9402
2,140,Exists,48,5.2835
3,140,Exists,40,3.20792
4,140,Exists,66,2.28046
1,141,Exists,58,6.57595
2,141,Exists,47,5.29971
3,141,Exists,39,3.09977
4,141,Exists,63,2.24859
1,142,Exists,60,6.73059
2,142,Exists,45,5.36912
3,142,Exists,41,3.19677
4,142,Exists,60,2.24304
1,143,Exists,62,5.9691
2,143,Exists,45,5.17219
3,143,Exists,40,3.31149
4,143,Exists,57,2.46788
1,144,Exists,65,6.11132
2,144,Exists,45,5.22113
3,144,Exists,40,3.00368
4,144,Exists,55,2.26964
1,145,Exists,68,5.87225
2,145,Exists,44,5.37342
3,145,Exists,40,3.31149
4,145,Exists,54,2.4956
1,146,Exists,66,6.08511
2,146,Exists,43,5.34079
3,146,Exists,39,2.94435
4,146,Exists,52,2.25557
1,147,Exists,71,6.03175
2,147,Exists,42,5.25431
3,147,Exists,40,3.12727
4,147,Exists,50,2.11755
1,148,Exists,77,6.49456
2,148,Exists,42,5.29834
3,148,Exists,40,3.08598
4,148,Exists,45,2.48202
1,149,Exists,79,6.1755
2,149,Exists,41,5.31416
3,149,Exists,40,2.82833
4,149,Exists,47,2.56716
1,150,Exists,80,7.08149
2,150,Exists,40,5.17614
3,150,Exists,40,3.27927
4,150,Exists,53,2.58779
1,151,Exists,85,7.09101
2,151,Exists,41,5.19037
3,151,Exists,40,3.27019
4,151,Exists,51,2.65777
1,152,Exists,80,7.02289
2,152,Exists,40,5.2087
3,152,Exists,40,3.03089
4,152,Exists,50,2.77853
1,153,Exists,84,6.89506
2,153,Exists,39,4.80313
3,153,Exists,40,2.94418
4,153,Exists,50,2.8248
1,154,Exists,89,7.00523
2,154,Exists,40,5.07698
3,154,Exists,40,3.16005
4,154,Exists,48,2.77354
1,155,Exists,100,6.71496
2,155,Exists,40,5.29964
3,155,Exists,40,3.19677
4,155,Exists,47,2.73618
1,156,Exists,100,6.82372
2,156,Exists,39,5.12632
3,156,Exists,40,3.08551
4,156,Exists,46,2.67404
1,157,Exists,104,7.03776
2,157,Exists,40,4.99663
3,157,Exists,39,3.35567
4,157,Exists,46,2.70612
1,158,Exists,107,6.77329
2,158,Exists,39,5.26482
3,158,Exists,39,3.24301
4,158,Exists,45,2.64643
1,159,Exists,108,6.76626
2,159,Exists,39,5.69841
3,159,Exists,39,3.24301
4,159,Exists,44,2.80858
1,160,Exists,115,7.43306
2,160,Exists,39,5.61124
3,160,Exists,38,3.09288
4,160,Exists,44,2.82054
1,161,Exists,99,7.23543
2,161,Exists,39,5.48105
3,161,Exists,36,3.24374
4,161,Exists,43,2.44792
1,162,Exists,88,7.02251
2,162,Exists,38,5.35144
3,162,Exists,41,3.3544
4,162,Exists,41,2.74198
1,163,Exists,79,7.24643
2,163,Exists,38,5.4699
3,163,Exists,40,3.16005
4,163,Exists,45,2.9384
1,164,Exists,74,7.56819
2,164,Exists,38,5.68357
3,164,Exists,40,2.98323
4,164,Exists,44,2.65259
1,165,Exists,68,7.02182
2,165,Exists,39,5.46636
3,165,Exists,39,3.07054
4,165,Exists,43,2.43756
1,166,Exists,65,6.9258
2,166,Exists,38,5.42145
3,166,Exists,39,3.113
4,166,Exists,43,2.4715
1,167,Exists,61,7.80724
2,167,Exists,34,5.53876
3,167,Exists,39,3.16005
4,167,Exists,42,2.69049
1,168,Exists,58,7.2751
2,168,Exists,34,5.47064
3,168,Exists,39,3.16005
4,168,Exists,42,2.85802
1,169,Exists,56,7.45686
2,169,Exists,34,5.46636
3,169,Exists,39,3.11612
4,169,Exists,42,2.82394
1,170,Exists,53,7.40675
2,170,Exists,34,5.61545
3,170,Exists,37,2.97903
4,170,Exists,42,2.92905
